scale_factor = 1.046503
Dit_model
Epoch 17/60, Train Loss: 0.4351113478139955, Test Loss: 0.4331514284014702
Epoch 18/60, Train Loss: 0.4319376372257058, Test Loss: 0.4330491043627262
Epoch 19/60, Train Loss: 0.43537215751652814, Test Loss: 0.4359377384185791
Epoch 20/60, Train Loss: 0.43336749456974927, Test Loss: 0.4330957420170307
Epoch 21/60, Train Loss: 0.42898951531672963, Test Loss: 0.4333243936300278
Epoch 22/60, Train Loss: 0.4311232662626675, Test Loss: 0.43594471737742424
Epoch 23/60, Train Loss: 0.4295862545164264, Test Loss: 0.4222233727574348
Epoch 24/60, Train Loss: 0.4288072475061125, Test Loss: 0.4276445172727108
Epoch 25/60, Train Loss: 0.42904531393124135, Test Loss: 0.43375223204493524
Epoch 26/60, Train Loss: 0.42948231040215007, Test Loss: 0.4303756386041641
Epoch 27/60, Train Loss: 0.4263244718313217, Test Loss: 0.4365012139081955
Epoch 28/60, Train Loss: 0.42498781075891184, Test Loss: 0.41769121289253236
Epoch 29/60, Train Loss: 0.4259554793944164, Test Loss: 0.4268000140786171
Epoch 30/60, Train Loss: 0.42393697919894235, Test Loss: 0.42297354340553284
Epoch 31/60, Train Loss: 0.4248693357316815, Test Loss: 0.4235194094479084
Epoch 32/60, Train Loss: 0.42492329161994313, Test Loss: 0.4256743922829628
Epoch 33/60, Train Loss: 0.42271512397089783, Test Loss: 0.4231676273047924
Epoch 34/60, Train Loss: 0.4217156979198359, Test Loss: 0.42796206623315813
Epoch 35/60, Train Loss: 0.4197690868560149, Test Loss: 0.41840792894363404
Epoch 36/60, Train Loss: 0.41687665955752745, Test Loss: 0.41249891370534897
Epoch 37/60, Train Loss: 0.41863983884757877, Test Loss: 0.4171271838247776
Epoch 38/60, Train Loss: 0.4196703418785212, Test Loss: 0.41959071084856986
Epoch 39/60, Train Loss: 0.41757472361228903, Test Loss: 0.4177498422563076
Epoch 40/60, Train Loss: 0.4150813676568927, Test Loss: 0.42166851833462715
Epoch 41/60, Train Loss: 0.41538424759495013, Test Loss: 0.42262067794799807
Epoch 42/60, Train Loss: 0.4130950951758696, Test Loss: 0.41256245896220206
Epoch 43/60, Train Loss: 0.4159234059708459, Test Loss: 0.4205811932682991
Epoch 44/60, Train Loss: 0.4115194161327518, Test Loss: 0.41780108138918876
Epoch 45/60, Train Loss: 0.4123490995594433, Test Loss: 0.4150470241904259
Epoch 46/60, Train Loss: 0.41409373693928425, Test Loss: 0.41052792221307755
Epoch 47/60, Train Loss: 0.4120657225044406, Test Loss: 0.415894240885973
Epoch 48/60, Train Loss: 0.4110273233785921, Test Loss: 0.4131736546754837
Epoch 49/60, Train Loss: 0.41084461248650844, Test Loss: 0.4204206757247448
Epoch 50/60, Train Loss: 0.41240722655641787, Test Loss: 0.4198407679796219
Epoch 51/60, Train Loss: 0.4106737162385668, Test Loss: 0.4191346414387226
Epoch 52/60, Train Loss: 0.4129847634811791, Test Loss: 0.41206529811024667
Epoch 53/60, Train Loss: 0.4082645241703306, Test Loss: 0.41468644589185716
Epoch 54/60, Train Loss: 0.41105868515311456, Test Loss: 0.4150125026702881
Epoch 55/60, Train Loss: 0.40732920230651387, Test Loss: 0.42140970230102537
Epoch 56/60, Train Loss: 0.4092754373440937, Test Loss: 0.4118031345307827
Epoch 57/60, Train Loss: 0.40932130555109103, Test Loss: 0.4158232159912586
Epoch 58/60, Train Loss: 0.4093039390079829, Test Loss: 0.4200733557343483
Epoch 59/60, Train Loss: 0.4101567237961049, Test Loss: 0.41042877435684205
Epoch 60/60, Train Loss: 0.40994012234162314, Test Loss: 0.4172165371477604


Epoch 0/0, Test Loss: 0.41184053048491476
