q3_b 第一次训练
Epoch 17/60, Train Loss: 0.3908046056725541, Test Loss: 0.39222377389669416
Epoch 18/60, Train Loss: 0.38936496130665954, Test Loss: 0.39371791407465934
Epoch 19/60, Train Loss: 0.39194970182618316, Test Loss: 0.3907494656741619
Epoch 20/60, Train Loss: 0.3883810773187754, Test Loss: 0.3959701143205166
Epoch 21/60, Train Loss: 0.3876526369428148, Test Loss: 0.3887323088943958
Epoch 22/60, Train Loss: 0.38871447589932656, Test Loss: 0.3906715616583824
Epoch 23/60, Train Loss: 0.3859245282958965, Test Loss: 0.38902552649378774
Epoch 24/60, Train Loss: 0.38625767948676126, Test Loss: 0.38990692868828775
Epoch 25/60, Train Loss: 0.3840432384488534, Test Loss: 0.3852935999631882
Epoch 26/60, Train Loss: 0.3815714659131303, Test Loss: 0.38613688871264457
Epoch 27/60, Train Loss: 0.3822575412234481, Test Loss: 0.38485805317759514
Epoch 28/60, Train Loss: 0.3806986276592527, Test Loss: 0.3782461278140545
Epoch 29/60, Train Loss: 0.3794002447809492, Test Loss: 0.3817097917199135
Epoch 30/60, Train Loss: 0.38381655392598135, Test Loss: 0.3873041607439518
Epoch 31/60, Train Loss: 0.3817171728124424, Test Loss: 0.37960049510002136
Epoch 32/60, Train Loss: 0.3774608391888288, Test Loss: 0.38252958580851554
Epoch 33/60, Train Loss: 0.37763451952107097, Test Loss: 0.3819413766264915
Epoch 34/60, Train Loss: 0.3780967847121005, Test Loss: 0.38468882739543914
Epoch 35/60, Train Loss: 0.3774436552609716, Test Loss: 0.37896293997764585
Epoch 36/60, Train Loss: 0.37530822428513544, Test Loss: 0.3824326805770397
Epoch 37/60, Train Loss: 0.37523542679086025, Test Loss: 0.3803544886410236
Epoch 38/60, Train Loss: 0.3749493565790507, Test Loss: 0.37719506993889806
Epoch 39/60, Train Loss: 0.3734491202904254, Test Loss: 0.3760930702090263
Epoch 40/60, Train Loss: 0.3737748043269527, Test Loss: 0.3771646201610565
Epoch 41/60, Train Loss: 0.37295609727805973, Test Loss: 0.38013758808374404
Epoch 42/60, Train Loss: 0.37321757236305547, Test Loss: 0.366146569699049
Epoch 43/60, Train Loss: 0.3714720400012269, Test Loss: 0.3776191622018814
Epoch 44/60, Train Loss: 0.3703104069038313, Test Loss: 0.3721653036773205
Epoch 45/60, Train Loss: 0.3691045400135371, Test Loss: 0.37259226441383364
Epoch 46/60, Train Loss: 0.37316187836077747, Test Loss: 0.37944393008947375
Epoch 47/60, Train Loss: 0.3692719688525005, Test Loss: 0.3726768739521503
Epoch 48/60, Train Loss: 0.36753421626528915, Test Loss: 0.38001344576478
Epoch 49/60, Train Loss: 0.3673645271634569, Test Loss: 0.3666788712143898
Epoch 50/60, Train Loss: 0.367615281167079, Test Loss: 0.3729057312011719
Epoch 51/60, Train Loss: 0.36668089169020557, Test Loss: 0.3774085663259029
Epoch 52/60, Train Loss: 0.3655119416665058, Test Loss: 0.37133010700345037
Epoch 53/60, Train Loss: 0.36624906865917906, Test Loss: 0.3779626376926899
Epoch 54/60, Train Loss: 0.3637323794620378, Test Loss: 0.38071224838495255
Epoch 55/60, Train Loss: 0.3652460517323747, Test Loss: 0.3733185350894928
Epoch 56/60, Train Loss: 0.3642961591178057, Test Loss: 0.38045673370361327
Epoch 57/60, Train Loss: 0.36492543363449526, Test Loss: 0.3737666092813015
Epoch 58/60, Train Loss: 0.3651093569945316, Test Loss: 0.3706796184182167
Epoch 59/60, Train Loss: 0.36599957851731046, Test Loss: 0.37321479693055154
Epoch 60/60, Train Loss: 0.3646167463489941, Test Loss: 0.3768432907760143


