Epoch 65/100, Train Loss: 0.42742143540966265, Test Loss: 0.4374529182910919
Epoch 66/100, Train Loss: 0.42676145659417525, Test Loss: 0.4175361096858978
Epoch 64/100, Train Loss: 0.42534746290469655, Test Loss: 0.4274340718984604
Epoch 65/100, Train Loss: 0.42742143540966265, Test Loss: 0.4374529182910919
Epoch 66/100, Train Loss: 0.42676145659417525, Test Loss: 0.4175361096858978
Epoch 65/100, Train Loss: 0.42742143540966265, Test Loss: 0.4374529182910919
Epoch 66/100, Train Loss: 0.42676145659417525, Test Loss: 0.4175361096858978
Epoch 67/100, Train Loss: 0.4274266727116643, Test Loss: 0.4132144421339035
Epoch 66/100, Train Loss: 0.42676145659417525, Test Loss: 0.4175361096858978
Epoch 67/100, Train Loss: 0.4274266727116643, Test Loss: 0.4132144421339035
Epoch 68/100, Train Loss: 0.42504420207471266, Test Loss: 0.42391102612018583
Epoch 67/100, Train Loss: 0.4274266727116643, Test Loss: 0.4132144421339035
Epoch 68/100, Train Loss: 0.42504420207471266, Test Loss: 0.42391102612018583
Epoch 68/100, Train Loss: 0.42504420207471266, Test Loss: 0.42391102612018583
Epoch 69/100, Train Loss: 0.4261744356885248, Test Loss: 0.4206614881753922
Epoch 70/100, Train Loss: 0.4271486839469598, Test Loss: 0.4316020369529724
Epoch 71/100, Train Loss: 0.42627106120391767, Test Loss: 0.4254048764705658
Epoch 72/100, Train Loss: 0.4247487324232958, Test Loss: 0.4345171689987183
Epoch 73/100, Train Loss: 0.42786884155808663, Test Loss: 0.4244022458791733
Epoch 74/100, Train Loss: 0.42596266525132315, Test Loss: 0.424440935254097
Epoch 75/100, Train Loss: 0.42535174409953913, Test Loss: 0.4195942282676697
Epoch 75/100, Train Loss: 0.42535174409953913, Test Loss: 0.4195942282676697
Epoch 76/100, Train Loss: 0.42604599436935114, Test Loss: 0.4248535066843033
Epoch 77/100, Train Loss: 0.42487052052604907, Test Loss: 0.4215320885181427
Epoch 78/100, Train Loss: 0.426315790232347, Test Loss: 0.42038041949272154
Epoch 79/100, Train Loss: 0.42801872564821825, Test Loss: 0.4174907386302948
Epoch 80/100, Train Loss: 0.42665425459949335, Test Loss: 0.43049650490283964
Epoch 75/100, Train Loss: 0.42535174409953913, Test Loss: 0.4195942282676697
Epoch 76/100, Train Loss: 0.42604599436935114, Test Loss: 0.4248535066843033
Epoch 77/100, Train Loss: 0.42487052052604907, Test Loss: 0.4215320885181427
Epoch 78/100, Train Loss: 0.426315790232347, Test Loss: 0.42038041949272154
Epoch 79/100, Train Loss: 0.42801872564821825, Test Loss: 0.4174907386302948
Epoch 75/100, Train Loss: 0.42535174409953913, Test Loss: 0.4195942282676697
Epoch 76/100, Train Loss: 0.42604599436935114, Test Loss: 0.4248535066843033
Epoch 77/100, Train Loss: 0.42487052052604907, Test Loss: 0.4215320885181427
Epoch 78/100, Train Loss: 0.426315790232347, Test Loss: 0.42038041949272154
Epoch 75/100, Train Loss: 0.42535174409953913, Test Loss: 0.4195942282676697
Epoch 76/100, Train Loss: 0.42604599436935114, Test Loss: 0.4248535066843033
Epoch 77/100, Train Loss: 0.42487052052604907, Test Loss: 0.4215320885181427
Epoch 78/100, Train Loss: 0.426315790232347, Test Loss: 0.42038041949272154
Epoch 75/100, Train Loss: 0.42535174409953913, Test Loss: 0.4195942282676697
Epoch 76/100, Train Loss: 0.42604599436935114, Test Loss: 0.4248535066843033
Epoch 77/100, Train Loss: 0.42487052052604907, Test Loss: 0.4215320885181427
Epoch 78/100, Train Loss: 0.426315790232347, Test Loss: 0.42038041949272154
Epoch 75/100, Train Loss: 0.42535174409953913, Test Loss: 0.4195942282676697
Epoch 76/100, Train Loss: 0.42604599436935114, Test Loss: 0.4248535066843033
Epoch 77/100, Train Loss: 0.42487052052604907, Test Loss: 0.4215320885181427
Epoch 75/100, Train Loss: 0.42535174409953913, Test Loss: 0.4195942282676697
Epoch 76/100, Train Loss: 0.42604599436935114, Test Loss: 0.4248535066843033
Epoch 75/100, Train Loss: 0.42535174409953913, Test Loss: 0.4195942282676697
Epoch 76/100, Train Loss: 0.42604599436935114, Test Loss: 0.4248535066843033
Epoch 75/100, Train Loss: 0.42535174409953913, Test Loss: 0.4195942282676697
Epoch 76/100, Train Loss: 0.42604599436935114, Test Loss: 0.4248535066843033
Epoch 75/100, Train Loss: 0.42535174409953913, Test Loss: 0.4195942282676697
Epoch 76/100, Train Loss: 0.42604599436935114, Test Loss: 0.4248535066843033
Epoch 75/100, Train Loss: 0.42535174409953913, Test Loss: 0.4195942282676697
Epoch 76/100, Train Loss: 0.42604599436935114, Test Loss: 0.4248535066843033
Epoch 75/100, Train Loss: 0.42535174409953913, Test Loss: 0.4195942282676697
Epoch 76/100, Train Loss: 0.42604599436935114, Test Loss: 0.4248535066843033
Epoch 77/100, Train Loss: 0.42487052052604907, Test Loss: 0.4215320885181427
Epoch 78/100, Train Loss: 0.426315790232347, Test Loss: 0.42038041949272154
Epoch 79/100, Train Loss: 0.42801872564821825, Test Loss: 0.4174907386302948
Epoch 80/100, Train Loss: 0.42665425459949335, Test Loss: 0.43049650490283964
Epoch 81/100, Train Loss: 0.4227097308149143, Test Loss: 0.4150654703378677
Epoch 82/100, Train Loss: 0.4261840949861371, Test Loss: 0.4299813210964203
Epoch 83/100, Train Loss: 0.4245481849933157, Test Loss: 0.43534756302833555
Epoch 84/100, Train Loss: 0.4213796753664406, Test Loss: 0.4299214452505112
Epoch 85/100, Train Loss: 0.4273380223585635, Test Loss: 0.4319232225418091
Epoch 86/100, Train Loss: 0.42699205844986193, Test Loss: 0.4181178092956543
Epoch 87/100, Train Loss: 0.4283537210858598, Test Loss: 0.4146708846092224
Epoch 88/100, Train Loss: 0.427356164978475, Test Loss: 0.43236331045627596
Epoch 89/100, Train Loss: 0.4258673096797904, Test Loss: 0.4180419445037842
Epoch 90/100, Train Loss: 0.42548633229975796, Test Loss: 0.4179553687572479
Epoch 91/100, Train Loss: 0.4242742289693988, Test Loss: 0.4331444978713989
Epoch 92/100, Train Loss: 0.42628008400907325, Test Loss: 0.4333886682987213
Epoch 93/100, Train Loss: 0.4265999757513708, Test Loss: 0.42441701591014863
Epoch 94/100, Train Loss: 0.42395243079078443, Test Loss: 0.4318369209766388
Epoch 95/100, Train Loss: 0.42427115902608753, Test Loss: 0.4345030844211578
Epoch 96/100, Train Loss: 0.42257120931635095, Test Loss: 0.4299542188644409
Epoch 97/100, Train Loss: 0.4263740108937633, Test Loss: 0.4315541088581085
Epoch 98/100, Train Loss: 0.4262769806141756, Test Loss: 0.42337377965450285
Epoch 99/100, Train Loss: 0.4278002779702751, Test Loss: 0.42591755986213686
Epoch 100/100, Train Loss: 0.4268969133192179, Test Loss: 0.4346327632665634
